mach,altitude_m,h_m,r_m,theta_deg,T_ambient_K,P_ambient_Pa,p_recovery,dc60,meets_mil,P_fan_face_Pa,T2_K,P2_Pa,T3_K,P3_Pa,T4_K,P4_Pa,thrust_N,tsfc,isp_s,fuel_flow_kg_s,V_exit_m_s
1.6,10000,0.25,0.04,10.0,223.15,26434.8,0.991442,0.104707,1,26208.5,548.68,471753.5,1395.85,457600.8,1034.14,136618.9,5465.24,0.00018297,557.109,1.0,588.444
1.6,10000,0.25,0.04,15.0,223.15,26434.8,0.985852,0.107781,1,26060.8,548.68,469093.6,1395.85,455020.8,1034.14,135848.7,5465.24,0.00018297,557.109,1.0,588.444
1.6,10000,0.25,0.04,20.0,223.15,26434.8,0.990036,0.10548,1,26171.4,548.68,471084.7,1395.85,456952.1,1034.14,136425.3,5465.24,0.00018297,557.109,1.0,588.444
1.6,10000,0.25,0.04,25.0,223.15,26434.8,0.979823,0.111097,1,25901.4,548.68,466225.1,1395.85,452238.3,1034.14,135017.9,5465.24,0.00018297,557.109,1.0,588.444
1.6,15000,0.05,0.04,5.0,216.65,22630.6,0.957265,0.043504,0,21663.5,532.7,389942.8,1379.87,378244.5,1028.7,115800.6,5739.16,0.00017424,585.031,1.0,586.892
1.6,15000,0.05,0.04,10.0,216.65,22630.6,0.991442,0.024707,1,22436.9,532.7,403865.0,1379.87,391749.1,1028.7,119935.1,5739.16,0.00017424,585.031,1.0,586.892
1.6,15000,0.05,0.04,15.0,216.65,22630.6,0.985852,0.027781,1,22310.4,532.7,401588.0,1379.87,389540.3,1028.7,119258.8,5739.16,0.00017424,585.031,1.0,586.892
1.6,15000,0.05,0.04,20.0,216.65,22630.6,0.990036,0.02548,1,22405.1,532.7,403292.5,1379.87,391193.7,1028.7,119765.0,5739.16,0.00017424,585.031,1.0,586.892
1.6,15000,0.05,0.04,25.0,216.65,22630.6,0.979823,0.031097,1,22174.0,532.7,399132.2,1379.87,387158.2,1028.7,118529.6,5739.16,0.00017424,585.031,1.0,586.892
1.6,15000,0.1,0.04,5.0,216.65,22630.6,0.957265,0.063504,0,21663.5,532.7,389942.8,1379.87,378244.5,1028.7,115800.6,5739.16,0.00017424,585.031,1.0,586.892
1.6,15000,0.1,0.04,10.0,216.65,22630.6,0.991442,0.044707,1,22436.9,532.7,403865.0,1379.87,391749.1,1028.7,119935.1,5739.16,0.00017424,585.031,1.0,586.892
1.6,15000,0.1,0.04,15.0,216.65,22630.6,0.985852,0.047781,1,22310.4,532.7,401588.0,1379.87,389540.3,1028.7,119258.8,5739.16,0.00017424,585.031,1.0,586.892
1.6,15000,0.1,0.04,20.0,216.65,22630.6,0.990036,0.04548,1,22405.1,532.7,403292.5,1379.87,391193.7,1028.7,119765.0,5739.16,0.00017424,585.031,1.0,586.892
1.6,15000,0.1,0.04,25.0,216.65,22630.6,0.979823,0.051097,1,22174.0,532.7,399132.2,1379.87,387158.2,1028.7,118529.6,5739.16,0.00017424,585.031,1.0,586.892
1.6,15000,0.15,0.04,5.0,216.65,22630.6,0.957265,0.083504,0,21663.5,532.7,389942.8,1379.87,378244.5,1028.7,115800.6,5739.16,0.00017424,585.031,1.0,586.892
1.6,15000,0.15,0.04,10.0,216.65,22630.6,0.991442,0.064707,1,22436.9,532.7,403865.0,1379.87,391749.1,1028.7,119935.1,5739.16,0.00017424,585.031,1.0,586.892
1.6,15000,0.15,0.04,15.0,216.65,22630.6,0.985852,0.067781,1,22310.4,532.7,401588.0,1379.87,389540.3,1028.7,119258.8,5739.16,0.00017424,585.031,1.0,586.892
1.6,15000,0.15,0.04,20.0,216.65,22630.6,0.990036,0.06548,1,22405.1,532.7,403292.5,1379.87,391193.7,1028.7,119765.0,5739.16,0.00017424,585.031,1.0,586.892
1.6,15000,0.15,0.04,25.0,216.65,22630.6,0.979823,0.071097,1,22174.0,532.7,399132.2,1379.87,387158.2,1028.7,118529.6,5739.16,0.00017424,585.031,1.0,586.892
